;hole;field;field.ID;samcam;season;year;weights;species;;;comment
47;3;RO_2011;12;1;autumn;2012;NA;A.caliginosa;;;Dummy
48;4;RO_2011;12;1;autumn;2012;NA;A.caliginosa;;;Dummy
49;1;DO_Mais;13;1;autumn;2012;NA;A.caliginosa;;;Dummy
50;2;DO_Mais;13;1;autumn;2012;NA;A.caliginosa;;;Dummy
51;3;DO_Mais;13;1;autumn;2012;NA;A.caliginosa;;;Dummy
52;4;DO_Mais;13;1;autumn;2012;NA;A.caliginosa;;;Dummy
53;1;ND_Mais;14;1;autumn;2012;NA;A.caliginosa;;;Dummy
54;2;ND_Mais;14;1;autumn;2012;NA;A.caliginosa;;;Dummy
55;3;ND_Mais;14;1;autumn;2012;NA;A.caliginosa;;;Dummy
56;4;ND_Mais;14;1;autumn;2012;NA;A.caliginosa;;;Dummy
57;1;RO_Mais;15;1;autumn;2012;NA;A.caliginosa;;;Dummy
58;2;RO_Mais;15;1;autumn;2012;NA;A.caliginosa;;;Dummy
59;3;RO_Mais;15;1;autumn;2012;NA;A.caliginosa;;;Dummy
60;4;RO_Mais;15;1;autumn;2012;NA;A.caliginosa;;;Dummy
61;1;DO_2004;1;2;spring;2013;NA;A.caliginosa;;;Dummy
62;2;DO_2004;1;2;spring;2013;NA;A.caliginosa;;;Dummy
63;3;DO_2004;1;2;spring;2013;NA;A.caliginosa;;;Dummy
64;4;DO_2004;1;2;spring;2013;NA;A.caliginosa;;;Dummy
65;1;HE_2004;2;2;spring;2013;NA;A.caliginosa;;;Dummy
66;2;HE_2004;2;2;spring;2013;NA;A.caliginosa;;;Dummy
67;3;HE_2004;2;2;spring;2013;NA;A.caliginosa;;;Dummy
68;4;HE_2004;2;2;spring;2013;NA;A.caliginosa;;;Dummy
69;1;DO_2005;3;2;spring;2013;NA;A.caliginosa;;;Dummy
70;2;DO_2005;3;2;spring;2013;NA;A.caliginosa;;;Dummy
71;3;DO_2005;3;2;spring;2013;NA;A.caliginosa;;;Dummy
72;4;DO_2005;3;2;spring;2013;NA;A.caliginosa;;;Dummy
73;1;DO_2007;4;2;spring;2013;NA;A.caliginosa;;;Dummy
74;2;DO_2007;4;2;spring;2013;NA;A.caliginosa;;;Dummy
75;3;DO_2007;4;2;spring;2013;NA;A.caliginosa;;;Dummy
76;4;DO_2007;4;2;spring;2013;NA;A.caliginosa;;;Dummy
77;1;EF_2007;5;2;spring;2013;NA;A.caliginosa;;;Dummy
78;2;EF_2007;5;2;spring;2013;NA;A.caliginosa;;;Dummy
79;3;EF_2007;5;2;spring;2013;NA;A.caliginosa;;;Dummy
80;4;EF_2007;5;2;spring;2013;NA;A.caliginosa;;;Dummy
81;1;PA_2007;6;2;spring;2013;NA;A.caliginosa;;;Dummy
82;2;PA_2007;6;2;spring;2013;NA;A.caliginosa;;;Dummy
83;3;PA_2007;6;2;spring;2013;NA;A.caliginosa;;;Dummy
84;4;PA_2007;6;2;spring;2013;NA;A.caliginosa;;;Dummy
85;1;DO_2009;7;2;spring;2013;NA;A.caliginosa;;;Dummy
86;2;DO_2009;7;2;spring;2013;NA;A.caliginosa;;;Dummy
87;3;DO_2009;7;2;spring;2013;NA;A.caliginosa;;;Dummy
88;4;DO_2009;7;2;spring;2013;NA;A.caliginosa;;;Dummy
89;1;EF_2009;8;2;spring;2013;NA;A.caliginosa;;;Dummy
90;2;EF_2009;8;2;spring;2013;NA;A.caliginosa;;;Dummy
91;3;EF_2009;8;2;spring;2013;NA;A.caliginosa;;;Dummy
92;4;EF_2009;8;2;spring;2013;NA;A.caliginosa;;;Dummy
93;1;PO_2009;9;2;spring;2013;NA;A.caliginosa;;;Dummy
94;2;PO_2009;9;2;spring;2013;NA;A.caliginosa;;;Dummy
95;3;PO_2009;9;2;spring;2013;NA;A.caliginosa;;;Dummy
96;4;PO_2009;9;2;spring;2013;NA;A.caliginosa;;;Dummy
97;1;EF_2011;10;2;spring;2013;NA;A.caliginosa;;;Dummy
98;2;EF_2011;10;2;spring;2013;NA;A.caliginosa;;;Dummy
99;3;EF_2011;10;2;spring;2013;NA;A.caliginosa;;;Dummy
100;4;EF_2011;10;2;spring;2013;NA;A.caliginosa;;;Dummy
101;1;ND_2011;11;2;spring;2013;NA;A.caliginosa;;;Dummy
102;2;ND_2011;11;2;spring;2013;NA;A.caliginosa;;;Dummy
103;3;ND_2011;11;2;spring;2013;NA;A.caliginosa;;;Dummy
104;4;ND_2011;11;2;spring;2013;NA;A.caliginosa;;;Dummy
105;1;RO_2011;12;2;spring;2013;NA;A.caliginosa;;;Dummy
106;2;RO_2011;12;2;spring;2013;NA;A.caliginosa;;;Dummy
107;3;RO_2011;12;2;spring;2013;NA;A.caliginosa;;;Dummy
108;4;RO_2011;12;2;spring;2013;NA;A.caliginosa;;;Dummy
109;1;DO_MaisII;16;2;spring;2013;NA;A.caliginosa;;;Dummy
110;2;DO_MaisII;16;2;spring;2013;NA;A.caliginosa;;;Dummy
111;3;DO_MaisII;16;2;spring;2013;NA;A.caliginosa;;;Dummy
112;4;DO_MaisII;16;2;spring;2013;NA;A.caliginosa;;;Dummy
113;1;PA_Mais;17;2;spring;2013;NA;A.caliginosa;;;Dummy
114;2;PA_Mais;17;2;spring;2013;NA;A.caliginosa;;;Dummy
115;3;PA_Mais;17;2;spring;2013;NA;A.caliginosa;;;Dummy
116;4;PA_Mais;17;2;spring;2013;NA;A.caliginosa;;;Dummy
117;1;RO_MaisII;18;2;spring;2013;NA;A.caliginosa;;;Dummy
118;2;RO_MaisII;18;2;spring;2013;NA;A.caliginosa;;;Dummy
119;3;RO_MaisII;18;2;spring;2013;NA;A.caliginosa;;;Dummy
120;4;RO_MaisII;18;2;spring;2013;NA;A.caliginosa;;;Dummy
121;1;DO_2004;1;3;autumn;2013;NA;A.caliginosa;;;Dummy
122;2;DO_2004;1;3;autumn;2013;NA;A.caliginosa;;;Dummy
123;3;DO_2004;1;3;autumn;2013;NA;A.caliginosa;;;Dummy
124;4;DO_2004;1;3;autumn;2013;NA;A.caliginosa;;;Dummy
125;1;HE_2004;2;3;autumn;2013;NA;A.caliginosa;;;Dummy
126;2;HE_2004;2;3;autumn;2013;NA;A.caliginosa;;;Dummy
127;3;HE_2004;2;3;autumn;2013;NA;A.caliginosa;;;Dummy
128;4;HE_2004;2;3;autumn;2013;NA;A.caliginosa;;;Dummy
129;1;DO_2005;3;3;autumn;2013;NA;A.caliginosa;;;Dummy
130;2;DO_2005;3;3;autumn;2013;NA;A.caliginosa;;;Dummy
131;3;DO_2005;3;3;autumn;2013;NA;A.caliginosa;;;Dummy
132;4;DO_2005;3;3;autumn;2013;NA;A.caliginosa;;;Dummy
133;1;DO_2007;4;3;autumn;2013;NA;A.caliginosa;;;Dummy
134;2;DO_2007;4;3;autumn;2013;NA;A.caliginosa;;;Dummy
135;3;DO_2007;4;3;autumn;2013;NA;A.caliginosa;;;Dummy
136;4;DO_2007;4;3;autumn;2013;NA;A.caliginosa;;;Dummy
137;1;EF_2007;5;3;autumn;2013;NA;A.caliginosa;;;Dummy
138;2;EF_2007;5;3;autumn;2013;NA;A.caliginosa;;;Dummy
139;3;EF_2007;5;3;autumn;2013;NA;A.caliginosa;;;Dummy
140;4;EF_2007;5;3;autumn;2013;NA;A.caliginosa;;;Dummy
141;1;PA_2007;6;3;autumn;2013;NA;A.caliginosa;;;Dummy
142;2;PA_2007;6;3;autumn;2013;NA;A.caliginosa;;;Dummy
143;3;PA_2007;6;3;autumn;2013;NA;A.caliginosa;;;Dummy
144;4;PA_2007;6;3;autumn;2013;NA;A.caliginosa;;;Dummy
145;1;DO_2009;7;3;autumn;2013;NA;A.caliginosa;;;Dummy
146;2;DO_2009;7;3;autumn;2013;NA;A.caliginosa;;;Dummy
147;3;DO_2009;7;3;autumn;2013;NA;A.caliginosa;;;Dummy
148;4;DO_2009;7;3;autumn;2013;NA;A.caliginosa;;;Dummy
149;1;EF_2009;8;3;autumn;2013;NA;A.caliginosa;;;Dummy
150;2;EF_2009;8;3;autumn;2013;NA;A.caliginosa;;;Dummy
151;3;EF_2009;8;3;autumn;2013;NA;A.caliginosa;;;Dummy
152;4;EF_2009;8;3;autumn;2013;NA;A.caliginosa;;;Dummy
153;1;PO_2009;9;3;autumn;2013;NA;A.caliginosa;;;Dummy
154;2;PO_2009;9;3;autumn;2013;NA;A.caliginosa;;;Dummy
155;3;PO_2009;9;3;autumn;2013;NA;A.caliginosa;;;Dummy
156;4;PO_2009;9;3;autumn;2013;NA;A.caliginosa;;;Dummy
157;1;EF_2011;10;3;autumn;2013;NA;A.caliginosa;;;Dummy
158;2;EF_2011;10;3;autumn;2013;NA;A.caliginosa;;;Dummy
159;3;EF_2011;10;3;autumn;2013;NA;A.caliginosa;;;Dummy
160;4;EF_2011;10;3;autumn;2013;NA;A.caliginosa;;;Dummy
161;1;ND_2011;11;3;autumn;2013;NA;A.caliginosa;;;Dummy
162;2;ND_2011;11;3;autumn;2013;NA;A.caliginosa;;;Dummy
163;3;ND_2011;11;3;autumn;2013;NA;A.caliginosa;;;Dummy
164;4;ND_2011;11;3;autumn;2013;NA;A.caliginosa;;;Dummy
165;1;RO_2011;12;3;autumn;2013;NA;A.caliginosa;;;Dummy
166;2;RO_2011;12;3;autumn;2013;NA;A.caliginosa;;;Dummy
167;3;RO_2011;12;3;autumn;2013;NA;A.caliginosa;;;Dummy
168;4;RO_2011;12;3;autumn;2013;NA;A.caliginosa;;;Dummy
169;1;DO_MaisII;16;3;autumn;2013;NA;A.caliginosa;;;Dummy
170;2;DO_MaisII;16;3;autumn;2013;NA;A.caliginosa;;;Dummy
171;3;DO_MaisII;16;3;autumn;2013;NA;A.caliginosa;;;Dummy
172;4;DO_MaisII;16;3;autumn;2013;NA;A.caliginosa;;;Dummy
173;1;PA_Mais;17;3;autumn;2013;NA;A.caliginosa;;;Dummy
174;2;PA_Mais;17;3;autumn;2013;NA;A.caliginosa;;;Dummy
175;3;PA_Mais;17;3;autumn;2013;NA;A.caliginosa;;;Dummy
176;4;PA_Mais;17;3;autumn;2013;NA;A.caliginosa;;;Dummy
177;1;RO_MaisII;18;3;autumn;2013;NA;A.caliginosa;;;Dummy
178;2;RO_MaisII;18;3;autumn;2013;NA;A.caliginosa;;;Dummy
179;3;RO_MaisII;18;3;autumn;2013;NA;A.caliginosa;;;Dummy
180;4;RO_MaisII;18;3;autumn;2013;NA;A.caliginosa;;;Dummy
181;1;DO_2004;1;1;autumn;2012;NA;A.chlorotica;;;Dummy
182;2;DO_2004;1;1;autumn;2012;NA;A.chlorotica;;;Dummy
183;3;DO_2004;1;1;autumn;2012;NA;A.chlorotica;;;Dummy
184;4;DO_2004;1;1;autumn;2012;NA;A.chlorotica;;;Dummy
185;1;HE_2004;2;1;autumn;2012;NA;A.chlorotica;;;Dummy
186;2;HE_2004;2;1;autumn;2012;NA;A.chlorotica;;;Dummy
187;3;HE_2004;2;1;autumn;2012;NA;A.chlorotica;;;Dummy
188;4;HE_2004;2;1;autumn;2012;NA;A.chlorotica;;;Dummy
189;1;DO_2005;3;1;autumn;2012;NA;A.chlorotica;;;Dummy
190;2;DO_2005;3;1;autumn;2012;NA;A.chlorotica;;;Dummy
191;3;DO_2005;3;1;autumn;2012;NA;A.chlorotica;;;Dummy
192;4;DO_2005;3;1;autumn;2012;NA;A.chlorotica;;;Dummy
193;1;DO_2007;4;1;autumn;2012;NA;A.chlorotica;;;Dummy
194;2;DO_2007;4;1;autumn;2012;NA;A.chlorotica;;;Dummy
195;3;DO_2007;4;1;autumn;2012;NA;A.chlorotica;;;Dummy
196;4;DO_2007;4;1;autumn;2012;NA;A.chlorotica;;;Dummy
197;1;EF_2007;5;1;autumn;2012;NA;A.chlorotica;;;Dummy
198;2;EF_2007;5;1;autumn;2012;NA;A.chlorotica;;;Dummy
199;3;EF_2007;5;1;autumn;2012;NA;A.chlorotica;;;Dummy
200;4;EF_2007;5;1;autumn;2012;NA;A.chlorotica;;;Dummy
201;1;PA_2007;6;1;autumn;2012;NA;A.chlorotica;;;Dummy
202;2;PA_2007;6;1;autumn;2012;NA;A.chlorotica;;;Dummy
203;3;PA_2007;6;1;autumn;2012;NA;A.chlorotica;;;Dummy
204;4;PA_2007;6;1;autumn;2012;NA;A.chlorotica;;;Dummy
205;1;DO_2009;7;1;autumn;2012;NA;A.chlorotica;;;Dummy
206;2;DO_2009;7;1;autumn;2012;NA;A.chlorotica;;;Dummy
207;3;DO_2009;7;1;autumn;2012;NA;A.chlorotica;;;Dummy
208;4;DO_2009;7;1;autumn;2012;NA;A.chlorotica;;;Dummy
209;1;EF_2009;8;1;autumn;2012;NA;A.chlorotica;;;Dummy
210;2;EF_2009;8;1;autumn;2012;NA;A.chlorotica;;;Dummy
211;3;EF_2009;8;1;autumn;2012;NA;A.chlorotica;;;Dummy
212;4;EF_2009;8;1;autumn;2012;NA;A.chlorotica;;;Dummy
213;1;PO_2009;9;1;autumn;2012;NA;A.chlorotica;;;Dummy
214;2;PO_2009;9;1;autumn;2012;NA;A.chlorotica;;;Dummy
215;3;PO_2009;9;1;autumn;2012;NA;A.chlorotica;;;Dummy
216;4;PO_2009;9;1;autumn;2012;NA;A.chlorotica;;;Dummy
217;1;EF_2011;10;1;autumn;2012;NA;A.chlorotica;;;Dummy
218;2;EF_2011;10;1;autumn;2012;NA;A.chlorotica;;;Dummy
219;3;EF_2011;10;1;autumn;2012;NA;A.chlorotica;;;Dummy
220;4;EF_2011;10;1;autumn;2012;NA;A.chlorotica;;;Dummy
221;1;ND_2011;11;1;autumn;2012;NA;A.chlorotica;;;Dummy
222;2;ND_2011;11;1;autumn;2012;NA;A.chlorotica;;;Dummy
223;3;ND_2011;11;1;autumn;2012;NA;A.chlorotica;;;Dummy
224;4;ND_2011;11;1;autumn;2012;NA;A.chlorotica;;;Dummy
225;1;RO_2011;12;1;autumn;2012;NA;A.chlorotica;;;Dummy
226;2;RO_2011;12;1;autumn;2012;NA;A.chlorotica;;;Dummy
227;3;RO_2011;12;1;autumn;2012;NA;A.chlorotica;;;Dummy
228;4;RO_2011;12;1;autumn;2012;NA;A.chlorotica;;;Dummy
229;1;DO_Mais;13;1;autumn;2012;NA;A.chlorotica;;;Dummy
230;2;DO_Mais;13;1;autumn;2012;NA;A.chlorotica;;;Dummy
231;3;DO_Mais;13;1;autumn;2012;NA;A.chlorotica;;;Dummy
232;4;DO_Mais;13;1;autumn;2012;NA;A.chlorotica;;;Dummy
233;1;ND_Mais;14;1;autumn;2012;NA;A.chlorotica;;;Dummy
234;2;ND_Mais;14;1;autumn;2012;NA;A.chlorotica;;;Dummy
235;3;ND_Mais;14;1;autumn;2012;NA;A.chlorotica;;;Dummy
236;4;ND_Mais;14;1;autumn;2012;NA;A.chlorotica;;;Dummy
237;1;RO_Mais;15;1;autumn;2012;NA;A.chlorotica;;;Dummy
238;2;RO_Mais;15;1;autumn;2012;NA;A.chlorotica;;;Dummy
239;3;RO_Mais;15;1;autumn;2012;NA;A.chlorotica;;;Dummy
240;4;RO_Mais;15;1;autumn;2012;NA;A.chlorotica;;;Dummy
241;1;DO_2004;1;2;spring;2013;NA;A.chlorotica;;;Dummy
242;2;DO_2004;1;2;spring;2013;NA;A.chlorotica;;;Dummy
243;3;DO_2004;1;2;spring;2013;NA;A.chlorotica;;;Dummy
244;4;DO_2004;1;2;spring;2013;NA;A.chlorotica;;;Dummy
245;1;HE_2004;2;2;spring;2013;NA;A.chlorotica;;;Dummy
246;2;HE_2004;2;2;spring;2013;NA;A.chlorotica;;;Dummy
247;3;HE_2004;2;2;spring;2013;NA;A.chlorotica;;;Dummy
248;4;HE_2004;2;2;spring;2013;NA;A.chlorotica;;;Dummy
249;1;DO_2005;3;2;spring;2013;NA;A.chlorotica;;;Dummy
250;2;DO_2005;3;2;spring;2013;NA;A.chlorotica;;;Dummy
251;3;DO_2005;3;2;spring;2013;NA;A.chlorotica;;;Dummy
252;4;DO_2005;3;2;spring;2013;NA;A.chlorotica;;;Dummy
253;1;DO_2007;4;2;spring;2013;NA;A.chlorotica;;;Dummy
254;2;DO_2007;4;2;spring;2013;NA;A.chlorotica;;;Dummy
255;3;DO_2007;4;2;spring;2013;NA;A.chlorotica;;;Dummy
256;4;DO_2007;4;2;spring;2013;NA;A.chlorotica;;;Dummy
257;1;EF_2007;5;2;spring;2013;NA;A.chlorotica;;;Dummy
258;2;EF_2007;5;2;spring;2013;NA;A.chlorotica;;;Dummy
259;3;EF_2007;5;2;spring;2013;NA;A.chlorotica;;;Dummy
260;4;EF_2007;5;2;spring;2013;NA;A.chlorotica;;;Dummy
261;1;PA_2007;6;2;spring;2013;NA;A.chlorotica;;;Dummy
262;2;PA_2007;6;2;spring;2013;NA;A.chlorotica;;;Dummy
263;3;PA_2007;6;2;spring;2013;NA;A.chlorotica;;;Dummy
264;4;PA_2007;6;2;spring;2013;NA;A.chlorotica;;;Dummy
265;1;DO_2009;7;2;spring;2013;NA;A.chlorotica;;;Dummy
266;2;DO_2009;7;2;spring;2013;NA;A.chlorotica;;;Dummy
267;3;DO_2009;7;2;spring;2013;NA;A.chlorotica;;;Dummy
268;4;DO_2009;7;2;spring;2013;NA;A.chlorotica;;;Dummy
269;1;EF_2009;8;2;spring;2013;NA;A.chlorotica;;;Dummy
270;2;EF_2009;8;2;spring;2013;NA;A.chlorotica;;;Dummy
271;3;EF_2009;8;2;spring;2013;NA;A.chlorotica;;;Dummy
272;4;EF_2009;8;2;spring;2013;NA;A.chlorotica;;;Dummy
273;1;PO_2009;9;2;spring;2013;NA;A.chlorotica;;;Dummy
274;2;PO_2009;9;2;spring;2013;NA;A.chlorotica;;;Dummy
275;3;PO_2009;9;2;spring;2013;NA;A.chlorotica;;;Dummy
276;4;PO_2009;9;2;spring;2013;NA;A.chlorotica;;;Dummy
277;1;EF_2011;10;2;spring;2013;NA;A.chlorotica;;;Dummy
278;2;EF_2011;10;2;spring;2013;NA;A.chlorotica;;;Dummy
279;3;EF_2011;10;2;spring;2013;NA;A.chlorotica;;;Dummy
280;4;EF_2011;10;2;spring;2013;NA;A.chlorotica;;;Dummy
281;1;ND_2011;11;2;spring;2013;NA;A.chlorotica;;;Dummy
282;2;ND_2011;11;2;spring;2013;NA;A.chlorotica;;;Dummy
283;3;ND_2011;11;2;spring;2013;NA;A.chlorotica;;;Dummy
284;4;ND_2011;11;2;spring;2013;NA;A.chlorotica;;;Dummy
285;1;RO_2011;12;2;spring;2013;NA;A.chlorotica;;;Dummy
286;2;RO_2011;12;2;spring;2013;NA;A.chlorotica;;;Dummy
287;3;RO_2011;12;2;spring;2013;NA;A.chlorotica;;;Dummy
288;4;RO_2011;12;2;spring;2013;NA;A.chlorotica;;;Dummy
289;1;DO_MaisII;16;2;spring;2013;NA;A.chlorotica;;;Dummy
290;2;DO_MaisII;16;2;spring;2013;NA;A.chlorotica;;;Dummy
291;3;DO_MaisII;16;2;spring;2013;NA;A.chlorotica;;;Dummy
292;4;DO_MaisII;16;2;spring;2013;NA;A.chlorotica;;;Dummy
293;1;PA_Mais;17;2;spring;2013;NA;A.chlorotica;;;Dummy
294;2;PA_Mais;17;2;spring;2013;NA;A.chlorotica;;;Dummy
295;3;PA_Mais;17;2;spring;2013;NA;A.chlorotica;;;Dummy
296;4;PA_Mais;17;2;spring;2013;NA;A.chlorotica;;;Dummy
297;1;RO_MaisII;18;2;spring;2013;NA;A.chlorotica;;;Dummy
298;2;RO_MaisII;18;2;spring;2013;NA;A.chlorotica;;;Dummy
299;3;RO_MaisII;18;2;spring;2013;NA;A.chlorotica;;;Dummy
300;4;RO_MaisII;18;2;spring;2013;NA;A.chlorotica;;;Dummy
301;1;DO_2004;1;3;autumn;2013;NA;A.chlorotica;;;Dummy
302;2;DO_2004;1;3;autumn;2013;NA;A.chlorotica;;;Dummy
303;3;DO_2004;1;3;autumn;2013;NA;A.chlorotica;;;Dummy
304;4;DO_2004;1;3;autumn;2013;NA;A.chlorotica;;;Dummy
305;1;HE_2004;2;3;autumn;2013;NA;A.chlorotica;;;Dummy
306;2;HE_2004;2;3;autumn;2013;NA;A.chlorotica;;;Dummy
307;3;HE_2004;2;3;autumn;2013;NA;A.chlorotica;;;Dummy
308;4;HE_2004;2;3;autumn;2013;NA;A.chlorotica;;;Dummy
309;1;DO_2005;3;3;autumn;2013;NA;A.chlorotica;;;Dummy
310;2;DO_2005;3;3;autumn;2013;NA;A.chlorotica;;;Dummy
311;3;DO_2005;3;3;autumn;2013;NA;A.chlorotica;;;Dummy
312;4;DO_2005;3;3;autumn;2013;NA;A.chlorotica;;;Dummy
313;1;DO_2007;4;3;autumn;2013;NA;A.chlorotica;;;Dummy
314;2;DO_2007;4;3;autumn;2013;NA;A.chlorotica;;;Dummy
315;3;DO_2007;4;3;autumn;2013;NA;A.chlorotica;;;Dummy
316;4;DO_2007;4;3;autumn;2013;NA;A.chlorotica;;;Dummy
317;1;EF_2007;5;3;autumn;2013;NA;A.chlorotica;;;Dummy
318;2;EF_2007;5;3;autumn;2013;NA;A.chlorotica;;;Dummy
319;3;EF_2007;5;3;autumn;2013;NA;A.chlorotica;;;Dummy
320;4;EF_2007;5;3;autumn;2013;NA;A.chlorotica;;;Dummy
321;1;PA_2007;6;3;autumn;2013;NA;A.chlorotica;;;Dummy
322;2;PA_2007;6;3;autumn;2013;NA;A.chlorotica;;;Dummy
323;3;PA_2007;6;3;autumn;2013;NA;A.chlorotica;;;Dummy
324;4;PA_2007;6;3;autumn;2013;NA;A.chlorotica;;;Dummy
325;1;DO_2009;7;3;autumn;2013;NA;A.chlorotica;;;Dummy
326;2;DO_2009;7;3;autumn;2013;NA;A.chlorotica;;;Dummy
327;3;DO_2009;7;3;autumn;2013;NA;A.chlorotica;;;Dummy
328;4;DO_2009;7;3;autumn;2013;NA;A.chlorotica;;;Dummy
329;1;EF_2009;8;3;autumn;2013;NA;A.chlorotica;;;Dummy
330;2;EF_2009;8;3;autumn;2013;NA;A.chlorotica;;;Dummy
331;3;EF_2009;8;3;autumn;2013;NA;A.chlorotica;;;Dummy
332;4;EF_2009;8;3;autumn;2013;NA;A.chlorotica;;;Dummy
333;1;PO_2009;9;3;autumn;2013;NA;A.chlorotica;;;Dummy
334;2;PO_2009;9;3;autumn;2013;NA;A.chlorotica;;;Dummy
335;3;PO_2009;9;3;autumn;2013;NA;A.chlorotica;;;Dummy
336;4;PO_2009;9;3;autumn;2013;NA;A.chlorotica;;;Dummy
337;1;EF_2011;10;3;autumn;2013;NA;A.chlorotica;;;Dummy
338;2;EF_2011;10;3;autumn;2013;NA;A.chlorotica;;;Dummy
339;3;EF_2011;10;3;autumn;2013;NA;A.chlorotica;;;Dummy
340;4;EF_2011;10;3;autumn;2013;NA;A.chlorotica;;;Dummy
341;1;ND_2011;11;3;autumn;2013;NA;A.chlorotica;;;Dummy
342;2;ND_2011;11;3;autumn;2013;NA;A.chlorotica;;;Dummy
343;3;ND_2011;11;3;autumn;2013;NA;A.chlorotica;;;Dummy
344;4;ND_2011;11;3;autumn;2013;NA;A.chlorotica;;;Dummy
345;1;RO_2011;12;3;autumn;2013;NA;A.chlorotica;;;Dummy
346;2;RO_2011;12;3;autumn;2013;NA;A.chlorotica;;;Dummy
347;3;RO_2011;12;3;autumn;2013;NA;A.chlorotica;;;Dummy
348;4;RO_2011;12;3;autumn;2013;NA;A.chlorotica;;;Dummy
349;1;DO_MaisII;16;3;autumn;2013;NA;A.chlorotica;;;Dummy
350;2;DO_MaisII;16;3;autumn;2013;NA;A.chlorotica;;;Dummy
351;3;DO_MaisII;16;3;autumn;2013;NA;A.chlorotica;;;Dummy
352;4;DO_MaisII;16;3;autumn;2013;NA;A.chlorotica;;;Dummy
353;1;PA_Mais;17;3;autumn;2013;NA;A.chlorotica;;;Dummy
354;2;PA_Mais;17;3;autumn;2013;NA;A.chlorotica;;;Dummy
355;3;PA_Mais;17;3;autumn;2013;NA;A.chlorotica;;;Dummy
356;4;PA_Mais;17;3;autumn;2013;NA;A.chlorotica;;;Dummy
357;1;RO_MaisII;18;3;autumn;2013;NA;A.chlorotica;;;Dummy
358;2;RO_MaisII;18;3;autumn;2013;NA;A.chlorotica;;;Dummy
