ID	fieldID	field	hole	ALOad	ALOj	LTRad	LTRj
79	5	EF_2007	3	0	0	7	7
80	5	EF_2007	4	0	0	5	4
81	6	PA_2007	1	0	0	0	0
82	6	PA_2007	2	0	0	1	0
83	6	PA_2007	3	0	0	0	0
84	6	PA_2007	4	0	0	0	0
85	7	DO_2009	1	0	0	1	0
86	7	DO_2009	2	0	0	4	4
87	7	DO_2009	3	0	0	1	0
88	7	DO_2009	4	0	0	0	0
89	8	EF_2009	1	0	0	0	0
90	8	EF_2009	2	0	0	0	4
91	8	EF_2009	3	0	0	0	1
92	8	EF_2009	4	0	0	1	1
93	9	PO_2009	1	0	1	4	12
94	9	PO_2009	2	0	6	7	8
95	9	PO_2009	3	1	4	2	8
96	9	PO_2009	4	1	4	2	3
97	10	EF_2011	1	0	0	1	0
98	10	EF_2011	2	0	0	0	0
99	10	EF_2011	3	0	0	2	1
100	10	EF_2011	4	0	0	1	1
101	11	ND_2011	1	0	0	1	5
102	11	ND_2011	2	0	0	4	4
103	11	ND_2011	3	0	0	1	1
104	11	ND_2011	4	0	0	2	5
105	12	RO_2011	1	0	0	2	0
106	12	RO_2011	2	1	0	3	2
107	12	RO_2011	3	0	0	0	1
108	12	RO_2011	4	0	0	0	0
109	16	DO_MaisII	1	0	0	0	0
110	16	DO_MaisII	2	0	0	1	0
111	16	DO_MaisII	3	0	0	0	0
112	16	DO_MaisII	4	0	0	1	0
113	17	PA_Mais	1	0	0	0	0
114	17	PA_Mais	2	0	0	0	0
115	17	PA_Mais	3	0	0	0	0
116	17	PA_Mais	4	0	0	0	0
117	18	RO_MaisII	1	0	0	0	0
118	18	RO_MaisII	2	0	0	0	1
119	18	RO_MaisII	3	0	0	0	1
120	18	RO_MaisII	4	0	0	0	0
121	1	DO_2004	1	0	0	8	0
122	1	DO_2004	2	0	0	5	1
123	1	DO_2004	3	0	0	5	0
124	1	DO_2004	4	0	0	4	0
125	2	HE_2004	1	0	0	3	1
126	2	HE_2004	2	0	0	10	4
127	2	HE_2004	3	0	0	6	8
128	2	HE_2004	4	0	0	7	2
129	3	DO_2005	1	0	0	3	0
130	3	DO_2005	2	0	0	6	0
131	3	DO_2005	3	0	0	5	2
132	3	DO_2005	4	0	0	0	0
133	4	DO_2007	1	0	0	2	1
134	4	DO_2007	2	0	0	6	0
135	4	DO_2007	3	0	0	1	2
136	4	DO_2007	4	0	0	9	0
137	5	EF_2007	1	0	0	2	5
138	5	EF_2007	2	0	0	4	6
139	5	EF_2007	3	0	0	6	0
140	5	EF_2007	4	0	0	9	0
141	6	PA_2007	1	0	0	2	0
142	6	PA_2007	2	0	0	6	0
143	6	PA_2007	3	0	0	2	0
144	6	PA_2007	4	0	0	1	0
145	7	DO_2009	1	0	0	0	0
146	7	DO_2009	2	0	0	1	0
147	7	DO_2009	3	0	0	5	0
148	7	DO_2009	4	0	0	0	0
149	8	EF_2009	1	0	0	1	6
150	8	EF_2009	2	0	0	2	2
151	8	EF_2009	3	0	0	6	1
152	8	EF_2009	4	0	0	1	0
153	9	PO_2009	1	4	1	4	0
154	9	PO_2009	2	5	0	6	0
155	9	PO_2009	3	4	1	1	1
156	9	PO_2009	4	3	1	5	1
157	10	EF_2011	1	0	0	1	0
158	10	EF_2011	2	0	0	1	0
159	10	EF_2011	3	0	0	2	1
160	10	EF_2011	4	0	0	0	1
161	11	ND_2011	1	0	0	6	0
162	11	ND_2011	2	0	0	4	0
163	11	ND_2011	3	0	0	3	1
164	11	ND_2011	4	0	0	0	0
165	12	RO_2011	1	0	0	5	0
166	12	RO_2011	2	0	0	0	0
167	12	RO_2011	3	0	0	0	0
168	12	RO_2011	4	0	0	0	0
169	16	DO_MaisII	1	0	0	0	0
170	16	DO_MaisII	2	0	0	0	0
171	16	DO_MaisII	3	0	0	1	0
172	16	DO_MaisII	4	0	0	0	0
173	17	PA_Mais	1	0	0	1	0
174	17	PA_Mais	2	0	0	0	0
175	17	PA_Mais	3	0	0	2	0
176	17	PA_Mais	4	0	0	0	0
177	18	RO_MaisII	1	0	0	0	0
178	18	RO_MaisII	2	0	0	1	0
179	18	RO_MaisII	3	0	0	0	0
180	18	RO_MaisII	4	0	0	0	0
